time,status,count,level,score,message
10h 51,backend_reversed,32,CRITICAL,9.469817600060624,"CRITICAL: Count (32) exceeds 99th percentile (19.00) and z-score (9.47) > 3, isolation forest: anomaly"
10h 52,backend_reversed,37,CRITICAL,11.156044498752111,"CRITICAL: Count (37) exceeds 99th percentile (19.00) and z-score (11.16) > 3, isolation forest: anomaly"
10h 53,backend_reversed,55,CRITICAL,17.226461334041467,"CRITICAL: Count (55) exceeds 99th percentile (19.00) and z-score (17.23) > 3, isolation forest: anomaly"
10h 54,backend_reversed,44,CRITICAL,13.516762156920194,"CRITICAL: Count (44) exceeds 99th percentile (19.00) and z-score (13.52) > 3, isolation forest: anomaly"
10h 55,backend_reversed,40,CRITICAL,12.167780637967004,"CRITICAL: Count (40) exceeds 99th percentile (19.00) and z-score (12.17) > 3, isolation forest: anomaly"
16h 14,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
16h 15,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
16h 17,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
16h 18,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
16h 19,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
16h 20,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
16h 21,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
16h 23,denied,105,WARNING,2.768192909090479,"WARNING: Count (105) exceeds 95th percentile (59.05) and z-score (2.77) > 2, isolation forest: anomaly"
16h 23,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
16h 24,denied,117,CRITICAL,3.172887364776436,"CRITICAL: Count (117) exceeds 99th percentile (102.22) and z-score (3.17) > 3, isolation forest: anomaly"
16h 24,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
16h 25,denied,112,CRITICAL,3.004264674907287,"CRITICAL: Count (112) exceeds 99th percentile (102.22) and z-score (3.00) > 3, isolation forest: anomaly"
16h 26,denied,151,CRITICAL,4.319521655886648,"CRITICAL: Count (151) exceeds 99th percentile (102.22) and z-score (4.32) > 3, isolation forest: anomaly"
16h 26,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
16h 27,denied,144,CRITICAL,4.08344989006984,"CRITICAL: Count (144) exceeds 99th percentile (102.22) and z-score (4.08) > 3, isolation forest: anomaly"
16h 27,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
16h 28,denied,101,WARNING,2.63329475719516,"WARNING: Count (101) exceeds 95th percentile (59.05) and z-score (2.63) > 2, isolation forest: anomaly"
16h 29,denied,109,WARNING,2.903091060985798,"WARNING: Count (109) exceeds 95th percentile (59.05) and z-score (2.90) > 2, isolation forest: anomaly"
16h 29,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
16h 30,denied,113,CRITICAL,3.037989212881117,"CRITICAL: Count (113) exceeds 99th percentile (102.22) and z-score (3.04) > 3, isolation forest: anomaly"
16h 30,denied,1000,CRITICAL,26.259135890863938,"CRITICAL: Count (1000) exceeds 99th percentile (109.31) and z-score (26.26) > 3, isolation forest: anomaly"
16h 30,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
16h 31,denied,93,WARNING,2.363498453404522,"WARNING: Count (93) exceeds 95th percentile (59.05) and z-score (2.36) > 2, isolation forest: anomaly"
16h 31,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
16h 32,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
16h 33,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
16h 34,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
16h 35,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 36,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
16h 37,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 38,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 39,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 40,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
16h 41,failed,13,CRITICAL,7.902995502546521,"CRITICAL: Count (13) exceeds 99th percentile (3.00) and z-score (7.90) > 3, isolation forest: anomaly"
16h 42,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
16h 43,failed,15,CRITICAL,9.25197702149971,"CRITICAL: Count (15) exceeds 99th percentile (3.00) and z-score (9.25) > 3, isolation forest: anomaly"
16h 44,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
16h 45,denied,100,WARNING,2.59957021922133,"WARNING: Count (100) exceeds 95th percentile (59.05) and z-score (2.60) > 2, isolation forest: anomaly"
16h 45,failed,13,CRITICAL,7.902995502546521,"CRITICAL: Count (13) exceeds 99th percentile (3.00) and z-score (7.90) > 3, isolation forest: anomaly"
16h 46,denied,147,CRITICAL,4.184623503991329,"CRITICAL: Count (147) exceeds 99th percentile (102.22) and z-score (4.18) > 3, isolation forest: anomaly"
16h 46,failed,13,CRITICAL,7.902995502546521,"CRITICAL: Count (13) exceeds 99th percentile (3.00) and z-score (7.90) > 3, isolation forest: anomaly"
16h 47,denied,88,WARNING,2.194875763535373,"WARNING: Count (88) exceeds 95th percentile (59.05) and z-score (2.19) > 2, isolation forest: anomaly"
16h 47,failed,15,CRITICAL,9.25197702149971,"CRITICAL: Count (15) exceeds 99th percentile (3.00) and z-score (9.25) > 3, isolation forest: anomaly"
16h 48,denied,92,WARNING,2.329773915430692,"WARNING: Count (92) exceeds 95th percentile (59.05) and z-score (2.33) > 2, isolation forest: anomaly"
16h 48,failed,12,CRITICAL,7.228504743069926,"CRITICAL: Count (12) exceeds 99th percentile (3.00) and z-score (7.23) > 3, isolation forest: anomaly"
16h 49,denied,109,WARNING,2.903091060985798,"WARNING: Count (109) exceeds 95th percentile (59.05) and z-score (2.90) > 2, isolation forest: anomaly"
16h 49,failed,5,WARNING,2.50706942673376,"WARNING: Count (5) exceeds 95th percentile (3.00) and z-score (2.51) > 2, isolation forest: anomaly"
16h 50,denied,84,WARNING,2.059977611640054,"WARNING: Count (84) exceeds 95th percentile (59.05) and z-score (2.06) > 2, isolation forest: anomaly"
16h 50,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 51,denied,128,CRITICAL,3.5438572824885632,"CRITICAL: Count (128) exceeds 99th percentile (102.22) and z-score (3.54) > 3, isolation forest: anomaly"
16h 51,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
16h 52,denied,105,WARNING,2.768192909090479,"WARNING: Count (105) exceeds 95th percentile (59.05) and z-score (2.77) > 2, isolation forest: anomaly"
